"","latitude","longitude","authoryear"
"1",32.871426,120.826585,"guo_2019"
"2",32.871426,120.826585,"guo_2019"
"3",32.871426,120.826585,"guo_2019"
"4",32.871426,120.826585,"guo_2019"
"5",32.871426,120.826585,"guo_2019"
"6",32.871426,120.826585,"guo_2019"
"7",32.871426,120.826585,"guo_2019"
"8",32.871426,120.826585,"guo_2019"
"9",32.871426,120.826585,"guo_2019"
"10",32.871426,120.83,"guo_2019"
"11",-3.01,-40.22,"iwata_2021"
"12",-3.01,-40.22,"iwata_2021"
"13",-3.01,-40.22,"iwata_2021"
"14",-3.01,-40.22,"iwata_2021"
"15",-3.01,-40.22,"iwata_2021"
"16",-3.01,-40.22,"iwata_2021"
"17",-3.01,-40.22,"iwata_2021"
"18",-3.01,-40.22,"iwata_2021"
"19",-3.01,-40.22,"iwata_2021"
"20",-3.01,-40.22,"iwata_2021"
"21",-3.01,-40.22,"iwata_2021"
"22",-3.01,-40.22,"iwata_2021"
"23",-3.01,-40.22,"iwata_2021"
"24",-3.01,-40.22,"iwata_2021"
"25",-3.01,-40.22,"iwata_2021"
"26",-3.01,-40.22,"iwata_2021"
"27",-3.01,-40.22,"iwata_2021"
"28",-3.01,-40.22,"iwata_2021"
"29",-22.75,-43.68,"loss_2009"
"30",-22.75,-43.68,"loss_2009"
"31",-22.75,-43.68,"loss_2009"
"32",-22.75,-43.68,"loss_2009"
"33",-10.44,-55.83,"oliveira_2018"
"34",-10.44,-55.83,"oliveira_2018"
"35",-10.44,-55.83,"oliveira_2018"
"36",-10.44,-55.83,"oliveira_2018"
"37",-1,-47.34,"rangel-vasconcelos_2012"
"38",-1,-47.34,"rangel-vasconcelos_2012"
"39",-1,-47.34,"rangel-vasconcelos_2012"
"40",-1,-47.34,"rangel-vasconcelos_2012"
"41",-1,-47.34,"rangel-vasconcelos_2012"
"42",-1,-47.34,"rangel-vasconcelos_2012"
"43",-1,-47.34,"rangel-vasconcelos_2012"
"44",-1,-47.34,"rangel-vasconcelos_2012"
"45",-1,-47.34,"rangel-vasconcelos_2012"
"46",-1,-47.34,"rangel-vasconcelos_2012"
"47",-1,-47.34,"rangel-vasconcelos_2012"
"48",-1,-47.34,"rangel-vasconcelos_2012"
"49",-4.13,-73.66,"silva-parra_2018"
"50",-4.13,-73.66,"silva-parra_2018"
"51",4.09,-72.97,"silva-parra_2018"
"52",4.09,-72.97,"silva-parra_2018"
"53",53.018604,-3.72944,"ford_2019"
"54",-22.24,-45.46,"melloni_2018"
"55",-22.24,-45.46,"melloni_2018"
"56",-13.16,-60.63,"muller_2012"
"57",-13.16,-60.63,"muller_2012"
"58",-13.16,-60.63,"muller_2012"
"59",-13.16,-60.63,"muller_2012"
"60",-13.16,-60.63,"muller_2012"
"61",-13.16,-60.63,"muller_2012"
"62",-13.16,-60.63,"muller_2012"
"63",-13.16,-60.63,"muller_2012"
"64",-13.16,-60.63,"muller_2012"
"65",-13.16,-60.63,"muller_2012"
"66",-13.16,-60.63,"muller_2012"
"67",-13.16,-60.63,"muller_2012"
"68",-2.68,-48.26,"santiago_2013"
"69",-2.68,-48.26,"santiago_2013"
"70",-2.68,-48.26,"santiago_2013"
"71",-2.68,-48.26,"santiago_2013"
"72",7.43,38.46,"serrano_2015"
"73",7.43,38.46,"serrano_2015"
"74",7.43,38.46,"serrano_2015"
"75",-15.28,-39.08,"barreto_2008"
"76",-15.28,-39.08,"barreto_2008"
"77",54.69,-2.67,"biffi_2022"
"78",54.69,-2.67,"biffi_2022"
"79",54.69,-2.67,"biffi_2022"
"80",54.69,-2.67,"biffi_2022"
"81",54.69,-2.67,"biffi_2022"
"82",54.69,-2.67,"biffi_2022"
"83",54.69,-2.67,"biffi_2022"
"84",54.69,-2.67,"biffi_2022"
"85",-7.51,-63.08,"campos_2016"
"86",48.1022222222222,1.29944444444444,"cardinael_2019"
"87",49.4737777777778,2.06458333333333,"cardinael_2019"
"88",46.1983333333333,0.176944444444444,"cardinael_2019"
"89",49.6675833333333,2.81566666666667,"cardinael_2019"
