"","profile_ID","ID","old_number","First_Author","Year_of_publication","Site_name","Country","Region","Longitude","Latitude","Altitude_masl","Mean_annual_rainfall_mm","Mean_annual_temperature_C","Climate_Köppen","Soil_type","Soil_type_WRB/FAO","Sand","Silt","Clay","Texture","pH","Depth_cm","Layer_deep","Initial_depth","Final_depth","Reference_depth","AFS_description","AFS_classification","AFS_crop_density_ha","AFS_tree_density_ha","Crop_species","Tree_species","Previous_land_use","Experimental_design","AFS_age_yrs","AFS_Stock_t_ha","AFS_SE_t_ha","Tree_Row_Stock_t_ha","Tree_Row_SE_t_ha","Alley_Stock_t_ha","Alley_SE_t_ha","Control_type","Control_Stock_ton_ha","Control_SE_t_ha","Tree_Row_Control_Stock_t_ha","Tree_Row_Control_SE_t_ha","Alley_Control_Stock_t_ha","Alley_Control_SE_t_ha","SOC_Storage_rate_t_ha_yr","SOC_Storage_rate_SE_t_ha_yr","pH_flag","texture_flag","C_stocks_delta_t_ha","C_stocks_delta_procent","dataset_stocks_delta","dataset_stocks_delta_ratio","dataset_stocks_delta","dataset_stocks_delta_ratio"
"1","245",1,72,"guo","2019","Yellow Sea Forest Park . Dongtai City - Jiangsu","China","Asia",120.5,32.75,5,1044,15.6,"Cwa",NA,NA,NA,NA,NA,NA,"8.1999999999999993",10,"0-10",0,10,5,"GW: ginkgo and wheat agroforestry system","silvoarable",NA,NA,"wheat (winter) and maize (summer)","Ginkgo (Ginkgo biloba L.)","forest","synchronic",14,20.7142857142857,0.952380952380899,NA,NA,NA,NA,"pure ginko plantation",18.8095238095238,0.238095238095202,NA,NA,NA,NA,NA,NA,1,0,1.9047619047619,10.126582278481,1.9047619047619,10.126582278481,1.9047619047619,10.126582278481
"2","245",2,72,"guo","2019","Yellow Sea Forest Park . Dongtai City - Jiangsu","China","Asia",120.5,32.75,5,1044,15.6,"Cwa",NA,NA,NA,NA,NA,NA,"8.1999999999999993",10,"10-20",10,20,15,"GW: ginkgo and wheat agroforestry system","silvoarable",NA,NA,"wheat (winter) and maize (summer)","Ginkgo (Ginkgo biloba L.)","forest","synchronic",14,17.3809523809524,3.09523809523809,NA,NA,NA,NA,"pure ginko plantation",20,0.952380952380899,NA,NA,NA,NA,NA,NA,1,0,-2.6190476190476,-13.095238095238,-2.6190476190476,-13.095238095238,-2.6190476190476,-13.095238095238
"3","245",3,72,"guo","2019","Yellow Sea Forest Park . Dongtai City - Jiangsu","China","Asia",120.5,32.75,5,1044,15.6,"Cwa",NA,NA,NA,NA,NA,NA,"8.1999999999999993",20,"20-40",20,40,30,"GW: ginkgo and wheat agroforestry system","silvoarable",NA,NA,"wheat (winter) and maize (summer)","Ginkgo (Ginkgo biloba L.)","forest","synchronic",14,17.6190476190476,2.6190476190476,NA,NA,NA,NA,"pure ginko plantation",19.5238095238095,2.1428571428571,NA,NA,NA,NA,NA,NA,1,0,-1.9047619047619,-9.75609756097559,-1.9047619047619,-9.75609756097559,-1.9047619047619,-9.75609756097559
"4","245",4,72,"guo","2019","Yellow Sea Forest Park . Dongtai City - Jiangsu","China","Asia",120.5,32.75,5,1044,15.6,"Cwa",NA,NA,NA,NA,NA,NA,"8.1999999999999993",20,"40-60",40,60,50,"GW: ginkgo and wheat agroforestry system","silvoarable",NA,NA,"wheat (winter) and maize (summer)","Ginkgo (Ginkgo biloba L.)","forest","synchronic",14,18.5714285714285,0.476190476190496,NA,NA,NA,NA,"pure ginko plantation",17.8571428571429,0.952380952380892,NA,NA,NA,NA,NA,NA,1,0,0.714285714285602,3.99999999999936,0.714285714285602,3.99999999999936,0.714285714285602,3.99999999999936
"5","245",5,72,"guo","2019","Yellow Sea Forest Park . Dongtai City - Jiangsu","China","Asia",120.5,32.75,5,1044,15.6,"Cwa",NA,NA,NA,NA,NA,NA,"8.1999999999999993",40,"60-100",60,100,80,"GW: ginkgo and wheat agroforestry system","silvoarable",NA,NA,"wheat (winter) and maize (summer)","Ginkgo (Ginkgo biloba L.)","forest","synchronic",14,37.1428571428568,7.142857142857,NA,NA,NA,NA,"pure ginko plantation",29.5238095238088,4.285714285715,NA,NA,NA,NA,NA,NA,1,0,7.619047619048,25.8064516129052,7.619047619048,25.8064516129052,7.619047619048,25.8064516129052
"6","244",6,72,"guo","2019","Yellow Sea Forest Park . Dongtai City - Jiangsu","China","Asia",120.5,32.75,5,1044,15.6,"Cwa",NA,NA,NA,NA,NA,NA,"8.23",10,"0-10",0,10,5,"GM: ginkgo and metasequoia seedling system","multistrata",NA,NA,"metasequoia (Metasequoia glyptostroboides)","Ginkgo (Ginkgo biloba L.)","forest","synchronic",14,15.4761904761904,4.2857142857143,NA,NA,NA,NA,"pure ginko plantation",18.8095238095238,0.238095238095202,NA,NA,NA,NA,NA,NA,1,0,-3.3333333333334,-17.7215189873421,-3.3333333333334,-17.7215189873421,-3.3333333333334,-17.7215189873421
"7","244",7,72,"guo","2019","Yellow Sea Forest Park . Dongtai City - Jiangsu","China","Asia",120.5,32.75,5,1044,15.6,"Cwa",NA,NA,NA,NA,NA,NA,"8.23",10,"10-20",10,20,15,"GM: ginkgo and metasequoia seedling system","multistrata",NA,NA,"metasequoia (Metasequoia glyptostroboides)","Ginkgo (Ginkgo biloba L.)","forest","synchronic",14,13.5714285714286,3.3333333333333,NA,NA,NA,NA,"pure ginko plantation",20,0.952380952380899,NA,NA,NA,NA,NA,NA,1,0,-6.4285714285714,-32.142857142857,-6.4285714285714,-32.142857142857,-6.4285714285714,-32.142857142857
"8","244",8,72,"guo","2019","Yellow Sea Forest Park . Dongtai City - Jiangsu","China","Asia",120.5,32.75,5,1044,15.6,"Cwa",NA,NA,NA,NA,NA,NA,"8.23",20,"20-40",20,40,30,"GM: ginkgo and metasequoia seedling system","multistrata",NA,NA,"metasequoia (Metasequoia glyptostroboides)","Ginkgo (Ginkgo biloba L.)","forest","synchronic",14,11.6666666666667,2.6190476190476,NA,NA,NA,NA,"pure ginko plantation",19.5238095238095,2.1428571428571,NA,NA,NA,NA,NA,NA,1,0,-7.8571428571428,-40.2439024390241,-7.8571428571428,-40.2439024390241,-7.8571428571428,-40.2439024390241
"9","244",9,72,"guo","2019","Yellow Sea Forest Park . Dongtai City - Jiangsu","China","Asia",120.5,32.75,5,1044,15.6,"Cwa",NA,NA,NA,NA,NA,NA,"8.23",20,"40-60",40,60,50,"GM: ginkgo and metasequoia seedling system","multistrata",NA,NA,"metasequoia (Metasequoia glyptostroboides)","Ginkgo (Ginkgo biloba L.)","forest","synchronic",14,10.7142857142857,1.1904761904762,NA,NA,NA,NA,"pure ginko plantation",17.8571428571429,0.952380952380892,NA,NA,NA,NA,NA,NA,1,0,-7.1428571428572,-40.0000000000002,-7.1428571428572,-40.0000000000002,-7.1428571428572,-40.0000000000002
"10","244",10,72,"guo","2019","Yellow Sea Forest Park . Dongtai City - Jiangsu","China","Asia",120.5,32.75,5,1044,15.6,"Cwa",NA,NA,NA,NA,NA,NA,"8.23",40,"60-100",60,100,80,"GM: ginkgo and metasequoia seedling system","multistrata",NA,NA,"metasequoia (Metasequoia glyptostroboides)","Ginkgo (Ginkgo biloba L.)","forest","synchronic",14,20.7142857142857,2.8571428571429,NA,NA,NA,NA,"pure ginko plantation",29.5238095238088,4.285714285715,NA,NA,NA,NA,NA,NA,1,0,-8.8095238095231,-29.8387096774177,-8.8095238095231,-29.8387096774177,-8.8095238095231,-29.8387096774177
"11","148",11,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,10,"0-10",0,10,5,"FIRE + Gliricidia sepium plants and bio-compost organic residues","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,1.05,NA,NA,NA,NA,NA,"FIRE + Gliricidia sepium plants",1.55,NA,NA,NA,NA,NA,NA,NA,0,0,-0.5,-32.258064516129,-0.5,-32.258064516129,-0.5,-32.258064516129
"12","148",12,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,10,"10-20",10,20,15,"FIRE + Gliricidia sepium plants and bio-compost organic residues","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.07,NA,NA,NA,NA,NA,"FIRE + Gliricidia sepium plants",3.15,NA,NA,NA,NA,NA,NA,NA,0,0,-0.0800000000000001,-2.53968253968254,-0.0800000000000001,-2.53968253968254,-0.0800000000000001,-2.53968253968254
"13","148",13,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,20,"20-40",20,40,30,"FIRE + Gliricidia sepium plants and bio-compost organic residues","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.22,NA,NA,NA,NA,NA,"FIRE + Gliricidia sepium plants",3.22,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"14","149",14,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,10,"0-10",0,10,5,"FIRE + Gliricidia sepium plants and carnauba processing residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,1.42,NA,NA,NA,NA,NA,"FIRE + Gliricidia sepium plants",1.55,NA,NA,NA,NA,NA,NA,NA,0,0,-0.13,-8.38709677419356,-0.13,-8.38709677419356,-0.13,-8.38709677419356
"15","149",15,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,10,"10-20",10,20,15,"FIRE + Gliricidia sepium plants and carnauba processing residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,2.88,NA,NA,NA,NA,NA,"FIRE + Gliricidia sepium plants",3.15,NA,NA,NA,NA,NA,NA,NA,0,0,-0.27,-8.57142857142857,-0.27,-8.57142857142857,-0.27,-8.57142857142857
"16","149",16,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,20,"20-40",20,40,30,"FIRE + Gliricidia sepium plants and carnauba processing residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.08,NA,NA,NA,NA,NA,"FIRE + Gliricidia sepium plants",3.22,NA,NA,NA,NA,NA,NA,NA,0,0,-0.14,-4.34782608695653,-0.14,-4.34782608695653,-0.14,-4.34782608695653
"17","150",17,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,10,"0-10",0,10,5,"FIRE + Gliricidia sepium plants, carnauba processing residue and bio-compost organic residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,1.04,NA,NA,NA,NA,NA,"FIRE + Gliricidia sepium plants",1.55,NA,NA,NA,NA,NA,NA,NA,0,0,-0.51,-32.9032258064516,-0.51,-32.9032258064516,-0.51,-32.9032258064516
"18","150",18,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,10,"10-20",10,20,15,"FIRE + Gliricidia sepium plants, carnauba processing residue and bio-compost organic residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.04,NA,NA,NA,NA,NA,"FIRE + Gliricidia sepium plants",3.15,NA,NA,NA,NA,NA,NA,NA,0,0,-0.11,-3.49206349206349,-0.11,-3.49206349206349,-0.11,-3.49206349206349
"19","150",19,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,20,"20-40",20,40,30,"FIRE + Gliricidia sepium plants, carnauba processing residue and bio-compost organic residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.12,NA,NA,NA,NA,NA,"FIRE + Gliricidia sepium plants",3.22,NA,NA,NA,NA,NA,NA,NA,0,0,-0.1,-3.1055900621118,-0.1,-3.1055900621118,-0.1,-3.1055900621118
