"","profile_ID","ID","Author_year","Site_name","Country","Region","Longitude","Latitude","Altitude_masl","Mean_annual_rainfall_mm","Mean_annual_temperature_C","Climate_Köppen","Soil_type_WRB/FAO","Sand","Silt","Clay","Texture","pH","Depth_cm","Layer_deep","Initial_depth","Final_depth","Reference_depth","AFS_description","AFS_classification","AFS_crop_density_ha","AFS_tree_density_ha","Crop_species","Tree_species","Previous_land_use","Experimental_design","AFS_age_yrs","AFS_Stock_t_ha","AFS_SE_t_ha","Control_type","Control_Stock_ton_ha","Control_SE_t_ha","pH_flag","texture_flag","C_stocks_delta_t_ha","C_stocks_delta_procent"
"77","377428",77,"biffi_2022","Cumbria - Edden Valley","England","Europe",-2.67,54.69,134.8,1091.8,8.84,"Cfb","Cambisols",NA,NA,NA,NA,"5.0999999999999996",50,"0-50",0,50,25,"hedgerow","hedgerow",NA,NA,"grass","hawthorn (Crataegus monogyna Jacq. 70%), blackthorn (Prunus spinosa L., 15%),  hazel (Corylus avellana L., 2%), elder (Sambucus nigra L., 1%), holly (Ilex aquifolium L., <1%), and dog-rose (Rosa canina L., <1%).","grassland","synchronic",3,130.8,32.2,"grassland",124.9,12,1,0,5.90000000000001,4.72377902321858
"78","377428",78,"biffi_2022","Cumbria - Edden Valley","England","Europe",-2.67,54.69,134.8,1091.8,8.84,"Cfb","Cambisols",NA,NA,NA,NA,"5.2",30,"0-30",0,30,15,"hedgerow","hedgerow",NA,NA,"grass","hawthorn (Crataegus monogyna Jacq. 70%), blackthorn (Prunus spinosa L., 15%),  hazel (Corylus avellana L., 2%), elder (Sambucus nigra L., 1%), holly (Ilex aquifolium L., <1%), and dog-rose (Rosa canina L., <1%).","grassland","synchronic",3,99.4,30,"grassland",97.3,8,1,0,2.10000000000001,2.15827338129497
"79","883768",79,"biffi_2022","Cumbria - Edden Valley","England","Europe",-2.67,54.69,134.8,1091.8,8.84,"Cfb","Cambisols",NA,NA,NA,NA,"5.2",50,"0-50",0,50,25,"hedgerow","hedgerow",NA,NA,"grass","hawthorn (Crataegus monogyna Jacq. 70%), blackthorn (Prunus spinosa L., 15%),  hazel (Corylus avellana L., 2%), elder (Sambucus nigra L., 1%), holly (Ilex aquifolium L., <1%), and dog-rose (Rosa canina L., <1%).","grassland","synchronic",10,131.7,19.6,"grassland",124.9,12,1,0,6.79999999999998,5.4443554843875
"80","883768",80,"biffi_2022","Cumbria - Edden Valley","England","Europe",-2.67,54.69,134.8,1091.8,8.84,"Cfb","Cambisols",NA,NA,NA,NA,"5.0999999999999996",30,"0-30",0,30,15,"hedgerow","hedgerow",NA,NA,"grass","hawthorn (Crataegus monogyna Jacq. 70%), blackthorn (Prunus spinosa L., 15%),  hazel (Corylus avellana L., 2%), elder (Sambucus nigra L., 1%), holly (Ilex aquifolium L., <1%), and dog-rose (Rosa canina L., <1%).","grassland","synchronic",10,91.1,19.5,"grassland",97.3,8,1,0,-6.2,-6.37204522096609
"81","2655958",81,"biffi_2022","Cumbria - Edden Valley","England","Europe",-2.67,54.69,134.8,1091.8,8.84,"Cfb","Cambisols",NA,NA,NA,NA,"5.8",50,"0-50",0,50,25,"hedgerow","hedgerow",NA,NA,"grass","hawthorn (Crataegus monogyna Jacq. 70%), blackthorn (Prunus spinosa L., 15%),  hazel (Corylus avellana L., 2%), elder (Sambucus nigra L., 1%), holly (Ilex aquifolium L., <1%), and dog-rose (Rosa canina L., <1%).","grassland","synchronic",37,175.3,26.5,"grassland",124.9,12,1,0,50.4,40.3522818254604
"82","2655958",82,"biffi_2022","Cumbria - Edden Valley","England","Europe",-2.67,54.69,134.8,1091.8,8.84,"Cfb","Cambisols",NA,NA,NA,NA,"5.6",30,"0-30",0,30,15,"hedgerow","hedgerow",NA,NA,"grass","hawthorn (Crataegus monogyna Jacq. 70%), blackthorn (Prunus spinosa L., 15%),  hazel (Corylus avellana L., 2%), elder (Sambucus nigra L., 1%), holly (Ilex aquifolium L., <1%), and dog-rose (Rosa canina L., <1%).","grassland","synchronic",37,127,21.2,"grassland",97.3,8,1,0,29.7,30.5241521068859
"83","3061030",83,"biffi_2022","Cumbria - Edden Valley","England","Europe",-2.67,54.69,134.8,1091.8,8.84,"Cfb","Cambisols",NA,NA,NA,NA,"4.8",50,"0-50",0,50,25,"hedgerow","hedgerow",NA,NA,"grass","hawthorn (Crataegus monogyna Jacq. 70%), blackthorn (Prunus spinosa L., 15%),  hazel (Corylus avellana L., 2%), elder (Sambucus nigra L., 1%), holly (Ilex aquifolium L., <1%), and dog-rose (Rosa canina L., <1%).","grassland","synchronic",50,185.7,74,"grassland",124.9,12,1,0,60.8,48.6789431545236
"84","3061030",84,"biffi_2022","Cumbria - Edden Valley","England","Europe",-2.67,54.69,134.8,1091.8,8.84,"Cfb","Cambisols",NA,NA,NA,NA,"4.8",30,"0-30",0,30,15,"hedgerow","hedgerow",NA,NA,"grass","hawthorn (Crataegus monogyna Jacq. 70%), blackthorn (Prunus spinosa L., 15%),  hazel (Corylus avellana L., 2%), elder (Sambucus nigra L., 1%), holly (Ilex aquifolium L., <1%), and dog-rose (Rosa canina L., <1%).","grassland","synchronic",50,118.7,40.5,"grassland",97.3,8,1,0,21.4,21.9938335046249
"86","656185",86,"cardinael_2019","Châteaudun - Eure-et-Loir","France","Europe",1.29944444444444,48.1022222222222,147,595,11.1,"Cfb","Luvisols",195,705,100,NA,"7",30,"0-30",0,30,15,"tree rows + crop alleys","silvoarable",NA,34,"ryegrass (Lolium perenne L.), tall fescue (Festuca arundinacea Schreb.), wheat (Triticum aestivum L. subsp. aestivum)","Hybrid walnut trees (Juglans regia × nigra cv. NG23)","cropland","synchronic",6,47.42,NA,"cropland",45.3,NA,1,1,2.12,4.67991169977926
"87","656185",87,"cardinael_2019","Le Marquis - Oise","France","Europe",2.06458333333333,49.4737777777778,110,NA,NA,"Cfb","Luvisols",246,603,151,NA,"8",30,"0-30",0,30,15,"tree rows + crop alleys","silvoarable",NA,83,"rapeseed (Brassica napus L.), wheat (Triticum aestivum L. subsp. aestivum) and barley (Hordeum vulgare L.)","Hybrid walnut, sycamore maple, apple tree, cherrywood, wild service tree, common walnut","cropland","synchronic",6,54.935,NA,"cropland",50.49,NA,1,1,4.445,8.80372350960586
