"Variable","Abbreviation","Model 1","Model 1.1","Model 2","Model 2.1","Model 3.1","Model 0","Model 0.1"
"AFS management","Man","X","X","X","X","X","X","X"
"Climate (Köppen)","Clim","X","X","X","X","X","X","X"
"Previous land use","L","X","X","X","X","X"," "," "
"AFS duration","Dur","X","X","X","X","X","X","X"
"Depth","Depth","X","X","X","X","X","X","X"
"Region","Reg","X","X","X","X","X","X","X"
"layer thickness","Thick","X","X","X","X","X","X","X"
"clay (SoilGrids)","Clay"," ","X"," ","X","X"," ","X"
"sand (SoilGrids)","Sand"," ","X"," ","X"," "," ","X"
"pH (SoilGrids)","pH"," ","X"," ","X"," "," ","X"
"N (SoilGrids)","N"," ","X"," ","X"," "," ","X"
